#az vm extension image list --location eastus -o table
Name                                     Publisher                                             Version
CloudLinkSecureVMWindowsAgent            CloudLinkEMC.SecureVM                                 6.5.69.0
CloudLinkSecureVMWindowsAgent            CloudLinkEMC.SecureVM                                 6.8.93.0
ConferForAzure                           Confer                                                1.0.5.38
ConferForAzure                           Confer                                                1.0.5.39
ConferForAzure                           Confer                                                1.0.5.40
BmcCtmAgentLinux                         ctm.bmc.com                                           9.0.0.1
AzureTools1type500                       danielsol.AzureTools1pns500                           1.2
DatadogLinuxAgent                        Datadog.Agent                                         0.4
DatadogLinuxAgent                        Datadog.Agent                                         0.6.2
DatadogLinuxAgent                        Datadog.Agent                                         0.7.1
DatadogLinuxAgent                        Datadog.Agent                                         1.0.0
DatadogLinuxAgent                        Datadog.Agent                                         1.1.2
DatadogLinuxAgent                        Datadog.Agent                                         3.0.0
DatadogLinuxAgent                        Datadog.Agent                                         5.0.0
DatadogWindowsAgent                      Datadog.Agent                                         0.4.1
DatadogWindowsAgent                      Datadog.Agent                                         0.5.2
DatadogWindowsAgent                      Datadog.Agent                                         0.6.0
DatadogWindowsAgent                      Datadog.Agent                                         0.7.0
DatadogWindowsAgent                      Datadog.Agent                                         0.8.0
DatadogWindowsAgent                      Datadog.Agent                                         1.0.0
DatadogWindowsAgent                      Datadog.Agent                                         1.1.2
DatadogWindowsAgent                      Datadog.Agent                                         2.0.0
DatadogWindowsAgent                      Datadog.Agent                                         4.2.0
DxEnterpriseForLinux                     Dh2ico                                                19.5.137
DxEnterpriseForLinux                     Dh2ico                                                20.0.218
DxEnterpriseForWindows                   Dh2ico                                                19.5.137
DxEnterpriseForWindows                   Dh2ico                                                20.0.222
DxEnterpriseForWindows                   Dh2ico                                                20.0.246
dtmanaged                                dynatrace.ruxit                                       1.4.0.11
dtmanaged                                dynatrace.ruxit                                       1.4.0.13
oneAgentLinux                            dynatrace.ruxit                                       1.151.0.1
oneAgentLinux                            dynatrace.ruxit                                       1.151.0.2
oneAgentLinux                            dynatrace.ruxit                                       1.163.0.0
oneAgentLinux                            dynatrace.ruxit                                       1.173.0.0
oneAgentLinux                            dynatrace.ruxit                                       1.182.0.0
oneAgentLinux                            dynatrace.ruxit                                       1.200.0.0
oneAgentLinux                            dynatrace.ruxit                                       1.201.0.0
oneAgentLinux                            dynatrace.ruxit                                       1.203.0.0
oneAgentLinux                            dynatrace.ruxit                                       1.204.0.0
oneAgentLinux                            dynatrace.ruxit                                       1.205.0.0
oneAgentLinux                            dynatrace.ruxit                                       1.206.0.0
oneAgentLinux                            dynatrace.ruxit                                       1.99.2.1
oneAgentLinux                            dynatrace.ruxit                                       2.163.0.0
oneAgentLinux                            dynatrace.ruxit                                       2.173.0.0
oneAgentLinux                            dynatrace.ruxit                                       2.182.0.0
oneAgentLinux                            dynatrace.ruxit                                       2.183.0.0
oneAgentLinux                            dynatrace.ruxit                                       2.2.0.2
oneAgentLinux                            dynatrace.ruxit                                       2.3.0.2
oneAgentManagedWindows                   dynatrace.ruxit                                       1.0.0.4
oneAgentWindows                          dynatrace.ruxit                                       1.150.0.1
oneAgentWindows                          dynatrace.ruxit                                       1.151.0.2
oneAgentWindows                          dynatrace.ruxit                                       1.163.0.0
oneAgentWindows                          dynatrace.ruxit                                       1.173.0.0
oneAgentWindows                          dynatrace.ruxit                                       1.182.0.0
oneAgentWindows                          dynatrace.ruxit                                       1.200.0.0
oneAgentWindows                          dynatrace.ruxit                                       1.201.0.0
oneAgentWindows                          dynatrace.ruxit                                       1.203.0.0
oneAgentWindows                          dynatrace.ruxit                                       1.204.0.0
oneAgentWindows                          dynatrace.ruxit                                       1.205.0.0
oneAgentWindows                          dynatrace.ruxit                                       1.206.0.0
oneAgentWindows                          dynatrace.ruxit                                       1.99.1.3
oneAgentWindows                          dynatrace.ruxit                                       2.163.0.0
oneAgentWindows                          dynatrace.ruxit                                       2.173.0.0
oneAgentWindows                          dynatrace.ruxit                                       2.182.0.0
oneAgentWindows                          dynatrace.ruxit                                       2.183.0.0
oneAgentWindows                          dynatrace.ruxit                                       2.2.0.2
oneAgentWindows                          dynatrace.ruxit                                       2.3.0.2
ElasticAgent.linux                       Elastic                                               1.1.0.0
ElasticAgent.linux                       Elastic                                               1.1.1.0
ElasticAgent.linux                       Elastic                                               1.2.0.0
ElasticAgent.windows                     Elastic                                               1.1.0.0
ElasticAgent.windows                     Elastic                                               1.1.1.0
ElasticAgent.windows                     Elastic                                               1.2.0.0
FileSecurity                             ESET                                                  6.5.12017.1000
FileSecurity                             ESET                                                  7.0.12014.1002
FileSecurity                             ESET                                                  7.0.12018.1001
FileSecurity                             ESET                                                  7.1.12006.1000
FileSecurity                             ESET                                                  7.2.12004.1000
FileSecurity                             ESET                                                  7.2.12004.1002
ProtectVClientLinuxExtension             Gemalto.SafeNet.ProtectV                              3.0.0.205
ProtectVClientWindowsExtension           Gemalto.SafeNet.ProtectV                              3.0.0.318
DotnetAgent                              HPE.Security.ApplicationDefender                      1.0.0.2
DotnetAgent                              HPE.Security.ApplicationDefender                      1.0.0.4
DotnetAgent                              HPE.Security.ApplicationDefender                      1.6.13.0
DotnetAgent                              HPE.Security.ApplicationDefender                      1.6.14.0
DotnetAgent                              HPE.Security.ApplicationDefender                      1.6.9.0
HostedKESL                               KasperskyLab.SecurityAgent                            11.1.0.6
HostedKSWS                               KasperskyLab.SecurityAgent                            11.0.0.3
SecureOSExtension                        KevlarExtensions.M365Security.SecureOS                1.0.0.3
SecureOSExtension                        KevlarExtensions.M365Security.SecureOS                1.0.0.4
SecureOSExtension                        KevlarExtensions.M365Security.SecureOS                1.0.0.5
SecureOSExtension                        KevlarExtensions.M365Security.SecureOS                1.0.1.0
SecureOSExtension                        KevlarExtensions.M365Security.SecureOS                1.1.0.0
HostIDSExtension                         KevlarExtensions.M365SecurityHostIDS                  1.0.20210604.0628
HostIDSExtension                         KevlarExtensions.M365SecurityHostIDS                  1.2.0.0
HostIDSExtension                         KevlarExtensions.M365SecurityHostIDS                  1.2.0.1
HostIDSExtension                         KevlarExtensions.M365SecurityHostIDS                  1.2.0.2
HostIDSExtension                         KevlarExtensions.M365SecurityHostIDS                  1.3.0.0
HostIDSExtension                         KevlarExtensions.M365SecurityHostIDS                  1.3.0.1
HostIDSExtension                         KevlarExtensions.M365SecurityHostIDS                  1.3.0.2
HostIDSExtension                         KevlarExtensions.M365SecurityHostIDS                  1.3.0.3
HostIDSExtension                         KevlarExtensions.M365SecurityHostIDS                  1.3.1.0
HostIDSExtension                         KevlarExtensions.M365SecurityHostIDS                  1.3.1.2
HostIDSExtension                         KevlarExtensions.M365SecurityHostIDS                  1.3.1.3
HostIDSExtension                         KevlarExtensions.M365SecurityHostIDS                  1.4.0.0
HostIDSExtension                         KevlarExtensions.M365SecurityHostIDS                  1.4.0.1
HostIDSExtension                         KevlarExtensions.M365SecurityHostIDS                  1.5.0.0
HostIDSExtension                         KevlarExtensions.M365SecurityHostIDS                  1.6.0.0
HostIDSExtension                         KevlarExtensions.M365SecurityHostIDS                  1.7.0.0
SecurityInventoryExtension               KevlarExtensions.M365SecurityInventory                1.0.0.0
SecurityInventoryExtension               KevlarExtensions.M365SecurityInventory                1.0.0.3
SecurityInventoryExtension               KevlarExtensions.M365SecurityInventory                1.1.0.0
SecurityInventoryExtension               KevlarExtensions.M365SecurityInventory                1.1.0.1
SecurityInventoryExtension               KevlarExtensions.M365SecurityInventory                1.2.0.0
SecurityInventoryExtension               KevlarExtensions.M365SecurityInventory                1.2.0.1
SecurityInventoryExtension               KevlarExtensions.M365SecurityInventory                1.2.0.2
SecurityInventoryExtension               KevlarExtensions.M365SecurityInventory                1.3.0.0
SecurityInventoryExtension               KevlarExtensions.M365SecurityInventory                1.4.0.0
SecurityInventoryExtension               KevlarExtensions.M365SecurityInventory                1.4.0.1
SecurityInventoryExtension               KevlarExtensions.M365SecurityInventory                1.5.3.0
KES                                      KasperskyLab.SecurityAgent                            1.0.0.7
ODLExtension                             KevlarExtensions.M365SecurityHostIDS                  1.0.20210604.0404
TLSExtension                             KevlarExtensions.M365SecurityTLSExtension             1.0.0.7
TLSExtension                             KevlarExtensions.M365SecurityTLSExtension             1.0.0.8
TLSExtension                             KevlarExtensions.M365SecurityTLSExtension             1.0.0.9
TLSExtension                             KevlarExtensions.M365SecurityTLSExtension             1.0.1.0
TLSExtension                             KevlarExtensions.M365SecurityTLSExtension             1.1.0.0
TLSExtension                             KevlarExtensions.M365SecurityTLSExtension             1.2.0.0
TLSExtension                             KevlarExtensions.M365SecurityTLSExtension             1.3.0.1
TLSExtension                             KevlarExtensions.M365SecurityTLSExtension             1.5.0.0
StarboardSherpaExtension                 KevlarExtensions.M365SecurityInventory                1.10.0.0
StarboardSherpaExtension                 KevlarExtensions.M365SecurityInventory                1.11.0.0
StarboardSherpaExtension                 KevlarExtensions.M365SecurityInventory                1.12.0.0
StarboardSherpaExtension                 KevlarExtensions.M365SecurityInventory                1.13.0.0
StarboardSherpaExtension                 KevlarExtensions.M365SecurityInventory                1.2.0.0
StarboardSherpaExtension                 KevlarExtensions.M365SecurityInventory                1.3.0.3
StarboardSherpaExtension                 KevlarExtensions.M365SecurityInventory                1.3.0.5
StarboardSherpaExtension                 KevlarExtensions.M365SecurityInventory                1.4.0.0
StarboardSherpaExtension                 KevlarExtensions.M365SecurityInventory                1.4.0.1
StarboardSherpaExtension                 KevlarExtensions.M365SecurityInventory                1.4.0.2
StarboardSherpaExtension                 KevlarExtensions.M365SecurityInventory                1.4.0.3
StarboardSherpaExtension                 KevlarExtensions.M365SecurityInventory                1.4.0.4
StarboardSherpaExtension                 KevlarExtensions.M365SecurityInventory                1.4.0.5
StarboardSherpaExtension                 KevlarExtensions.M365SecurityInventory                1.4.0.6
StarboardSherpaExtension                 KevlarExtensions.M365SecurityInventory                1.5.0.1
StarboardSherpaExtension                 KevlarExtensions.M365SecurityInventory                1.5.0.2
StarboardSherpaExtension                 KevlarExtensions.M365SecurityInventory                1.6.0.0
StarboardSherpaExtension                 KevlarExtensions.M365SecurityInventory                1.6.0.1
StarboardSherpaExtension                 KevlarExtensions.M365SecurityInventory                1.7.0.0
StarboardSherpaExtension                 KevlarExtensions.M365SecurityInventory                1.8.0.1
StarboardSherpaExtension                 KevlarExtensions.M365SecurityInventory                1.9.0.0
ODLExtension                             KevlarExtensions.M365SecurityODL                      1.2.0.0
ODLExtension                             KevlarExtensions.M365SecurityODL                      1.2.0.1
ODLExtension                             KevlarExtensions.M365SecurityODL                      1.2.0.2
ODLExtension                             KevlarExtensions.M365SecurityODL                      1.3.0.0
ODLExtension                             KevlarExtensions.M365SecurityODL                      1.3.0.1
ODLExtension                             KevlarExtensions.M365SecurityODL                      1.3.0.2
ODLExtension                             KevlarExtensions.M365SecurityODL                      1.3.0.3
ODLExtension                             KevlarExtensions.M365SecurityODL                      1.3.1.0
ODLExtension                             KevlarExtensions.M365SecurityODL                      1.3.1.2
ODLExtension                             KevlarExtensions.M365SecurityODL                      1.3.1.3
ODLExtension                             KevlarExtensions.M365SecurityODL                      1.4.0.0
ODLExtension                             KevlarExtensions.M365SecurityODL                      1.4.0.1
ODLExtension                             KevlarExtensions.M365SecurityODL                      1.4.0.2
ODLExtension                             KevlarExtensions.M365SecurityODL                      1.5.0.0
ODLExtension                             KevlarExtensions.M365SecurityODL                      1.6.0.0
ODLExtension                             KevlarExtensions.M365SecurityODL                      1.6.0.1
ODLExtension                             KevlarExtensions.M365SecurityODL                      1.7.0.0
ODLExtension                             KevlarExtensions.M365SecurityODL                      1.8.0.0
ODLExtension                             KevlarExtensions.M365SecurityODL                      1.9.0.0
KESL                                     KasperskyLab.SecurityAgent                            1.0.2.0
KESL                                     KasperskyLab.SecurityAgent                            11.0.3.3013
KESL                                     KasperskyLab.SecurityAgent                            11.1.0.4000
KESL                                     KasperskyLab.SecurityAgent                            11.2.0.3013
KESL                                     KasperskyLab.SecurityAgent                            11.3.1.1
KSWS                                     KasperskyLab.SecurityAgent                            1.0.1.0
KSWS                                     KasperskyLab.SecurityAgent                            11.0.0.480
KSWS                                     KasperskyLab.SecurityAgent                            11.1.1.3
KSWS                                     KasperskyLab.SecurityAgent                            11.1.1.4
LogzioLogExtensionLinux                  logzio                                                1.0.0
TorusExtension                           M365Security.KevlarExtensions                         2.0.0.0
TorusExtension                           M365Security.KevlarExtensions                         2.2.0.0
TorusExtension                           M365Security.KevlarExtensions                         2.2.0.1
TorusExtension                           M365Security.KevlarExtensions                         2.3.0.0
McAfeeEndpointSecurity                   McAfee.EndpointSecurity                               6.0
IaaS47C6E03DTest                         Microsoft.Azure.Applications                          1.0.0.3
AADLoginForWindows                       Microsoft.Azure.ActiveDirectory                       0.3.0.0
AADLoginForWindows                       Microsoft.Azure.ActiveDirectory                       0.3.1.0
AADLoginForWindows                       Microsoft.Azure.ActiveDirectory                       0.4.1.0
AADLoginForWindows                       Microsoft.Azure.ActiveDirectory                       0.4.1.1
AADLoginForWindows                       Microsoft.Azure.ActiveDirectory                       1.0.0.0
AADLoginForWindows                       Microsoft.Azure.ActiveDirectory                       1.0.0.1
Compute.AKS-Engine.Linux.Billing         Microsoft.AKS                                         1.0.0
AADLoginForLinux                         Microsoft.Azure.ActiveDirectory.LinuxSSH              1.0.1368.2
AADLoginForLinux                         Microsoft.Azure.ActiveDirectory.LinuxSSH              1.0.1509.3
AADLoginForLinux                         Microsoft.Azure.ActiveDirectory.LinuxSSH              1.0.1528.1
AADLoginForLinux                         Microsoft.Azure.ActiveDirectory.LinuxSSH              1.0.1588.3
AdminCenter                              Microsoft.AdminCenter                                 0.0.0.117
AdminCenter                              Microsoft.AdminCenter                                 0.0.0.137
AdminCenter                              Microsoft.AdminCenter                                 0.0.0.143
AdminCenter                              Microsoft.AdminCenter                                 0.0.0.148
AdminCenter                              Microsoft.AdminCenter                                 0.0.0.151
AdminCenter                              Microsoft.AdminCenter                                 0.0.0.152
AdminCenter                              Microsoft.AdminCenter                                 0.0.0.169
AdminCenter                              Microsoft.AdminCenter                                 0.0.0.175
AdminCenter                              Microsoft.AdminCenter                                 0.0.0.177
AdminCenter                              Microsoft.AdminCenter                                 0.0.0.34
AdminCenter                              Microsoft.AdminCenter                                 0.0.0.35
AdminCenter                              Microsoft.AdminCenter                                 0.0.0.36
AdminCenter                              Microsoft.AdminCenter                                 0.0.0.38
AdminCenter                              Microsoft.AdminCenter                                 0.0.0.40
AdminCenter                              Microsoft.AdminCenter                                 0.0.0.41
AdminCenter                              Microsoft.AdminCenter                                 0.0.0.50
AdminCenter                              Microsoft.AdminCenter                                 0.0.0.51
AdminCenter                              Microsoft.AdminCenter                                 0.0.0.53
AdminCenter                              Microsoft.AdminCenter                                 0.0.0.62
AdminCenter                              Microsoft.AdminCenter                                 0.0.0.65
AdminCenter                              Microsoft.AdminCenter                                 0.0.0.86
AdminCenter                              Microsoft.AdminCenter                                 0.0.0.87
AADSSHLoginForLinux                      Microsoft.Azure.ActiveDirectory                       1.0.1553.1
AADSSHLoginForLinux                      Microsoft.Azure.ActiveDirectory                       1.0.1560.1
AADSSHLoginForLinux                      Microsoft.Azure.ActiveDirectory                       1.0.1588.1
AADSSHLoginForLinux                      Microsoft.Azure.ActiveDirectory                       1.0.1595.1
AADSSHLoginForLinux                      Microsoft.Azure.ActiveDirectory                       1.0.1713.1
AADSSHLoginForLinux                      Microsoft.Azure.ActiveDirectory                       1.0.1994.1
AADSSHLoginForLinux                      Microsoft.Azure.ActiveDirectory                       1.0.2025.2
AdminCenter.Test                         Microsoft.AdminCenter                                 0.0.0.177
AdminCenter.Test                         Microsoft.AdminCenter                                 0.0.0.201
Compute.AKS-Engine.Windows.Billing       Microsoft.AKS                                         1.0.0
Compute.AKS.Linux.AKSNode                Microsoft.AKS                                         1.0.0.4
Compute.AKS.Linux.AKSNode                Microsoft.AKS                                         1.0.1
Compute.AKS.Linux.AKSNode                Microsoft.AKS                                         1.0.3
Compute.AKS.Linux.AKSNode                Microsoft.AKS                                         1.0.4.1
Compute.AKS.Linux.AKSNode                Microsoft.AKS                                         1.10
Compute.AKS.Linux.AKSNode                Microsoft.AKS                                         1.12
Compute.AKS.Linux.AKSNode                Microsoft.AKS                                         1.13
Compute.AKS.Linux.AKSNode                Microsoft.AKS                                         1.16
Compute.AKS.Linux.AKSNode                Microsoft.AKS                                         1.17
Compute.AKS.Linux.AKSNode                Microsoft.AKS                                         1.22
Compute.AKS.Linux.AKSNode                Microsoft.AKS                                         1.23
Compute.AKS.Linux.AKSNode                Microsoft.AKS                                         1.8
Compute.AKS.Linux.AKSNode                Microsoft.AKS                                         1.9
HybridWorkerForLinux                     Microsoft.Azure.Automation.HybridWorker               0.1.0.10
HybridWorkerForLinux                     Microsoft.Azure.Automation.HybridWorker               0.1.0.11
HybridWorkerForLinux                     Microsoft.Azure.Automation.HybridWorker               0.1.0.12
HybridWorkerForLinux                     Microsoft.Azure.Automation.HybridWorker               0.1.0.13
HybridWorkerForLinux                     Microsoft.Azure.Automation.HybridWorker               0.1.0.16
HybridWorkerForLinux                     Microsoft.Azure.Automation.HybridWorker               0.1.0.8
HybridWorkerForWindows                   Microsoft.Azure.Automation.HybridWorker               0.1.0.12
HybridWorkerForWindows                   Microsoft.Azure.Automation.HybridWorker               0.1.0.18
HybridWorkerForWindows                   Microsoft.Azure.Automation.HybridWorker               0.1.0.22
HybridWorkerForWindows                   Microsoft.Azure.Automation.HybridWorker               0.1.0.4
HybridWorkerForWindows                   Microsoft.Azure.Automation.HybridWorker               0.1.0.5
HybridWorkerForWindows                   Microsoft.Azure.Automation.HybridWorker               0.1.0.6
HybridWorkerForWindows                   Microsoft.Azure.Automation.HybridWorker               0.1.0.8
Compute.AKS.Linux.Billing                Microsoft.AKS                                         1.0.0
AdvancedThreatProtection.Windows         Microsoft.Azure.AzureDefenderForSQL                   1.0.0
AdvancedThreatProtection.Windows         Microsoft.Azure.AzureDefenderForSQL                   1.0.1
AdvancedThreatProtection.Windows         Microsoft.Azure.AzureDefenderForSQL                   1.0.1629.89
AdvancedThreatProtection.Windows         Microsoft.Azure.AzureDefenderForSQL                   1.0.2
AdvancedThreatProtection.Windows         Microsoft.Azure.AzureDefenderForSQL                   1.1.1687.118
AdvancedThreatProtection.Windows         Microsoft.Azure.AzureDefenderForSQL                   1.1.1732.126
AdvancedThreatProtection.Windows         Microsoft.Azure.AzureDefenderForSQL                   1.1.1739.127
AdvancedThreatProtection.Windows         Microsoft.Azure.AzureDefenderForSQL                   1.3.1769.143
AdvancedThreatProtection.Windows         Microsoft.Azure.AzureDefenderForSQL                   1.3.1802.146
AdvancedThreatProtection.Windows         Microsoft.Azure.AzureDefenderForSQL                   1.3.1828.150
AdvancedThreatProtection.Windows         Microsoft.Azure.AzureDefenderForSQL                   1.4.1902.163
AdvancedThreatProtection.Windows         Microsoft.Azure.AzureDefenderForSQL                   1.4.1920.165
AdvancedThreatProtection.Windows         Microsoft.Azure.AzureDefenderForSQL                   1.6.1996.11
AdvancedThreatProtection.Windows         Microsoft.Azure.AzureDefenderForSQL                   1.6.2025.18
AdvancedThreatProtection.Windows         Microsoft.Azure.AzureDefenderForSQL                   1.6.2054.46
MDE.Linux                                Microsoft.Azure.AzureDefenderForServers               1.0.0.16
MDE.Linux                                Microsoft.Azure.AzureDefenderForServers               1.0.0.17
MDE.Linux                                Microsoft.Azure.AzureDefenderForServers               1.0.0.18
MDE.Linux                                Microsoft.Azure.AzureDefenderForServers               1.0.0.20
MDE.Linux                                Microsoft.Azure.AzureDefenderForServers               1.0.0.22
MDE.Linux                                Microsoft.Azure.AzureDefenderForServers               1.0.0.23
MDE.Linux                                Microsoft.Azure.AzureDefenderForServers               1.0.0.25
MDE.Linux                                Microsoft.Azure.AzureDefenderForServers               1.0.0.26
MDE.Linux                                Microsoft.Azure.AzureDefenderForServers               1.0.0.27
MDE.Linux                                Microsoft.Azure.AzureDefenderForServers               1.0.0.28
MDE.Linux                                Microsoft.Azure.AzureDefenderForServers               1.0.0.29
MDE.Linux                                Microsoft.Azure.AzureDefenderForServers               1.0.0.30
MDE.Linux                                Microsoft.Azure.AzureDefenderForServers               1.0.0.31
MDE.Linux                                Microsoft.Azure.AzureDefenderForServers               1.0.0.32
MDE.Linux                                Microsoft.Azure.AzureDefenderForServers               1.0.0.33
MDE.Linux                                Microsoft.Azure.AzureDefenderForServers               1.0.0.34
MDE.Linux                                Microsoft.Azure.AzureDefenderForServers               1.0.0.35
MDE.Linux                                Microsoft.Azure.AzureDefenderForServers               1.0.0.36
MDE.Linux                                Microsoft.Azure.AzureDefenderForServers               1.0.1.0
MDE.Linux                                Microsoft.Azure.AzureDefenderForServers               1.0.1.1
MDE.Linux                                Microsoft.Azure.AzureDefenderForServers               1.0.1.2
MDE.Linux                                Microsoft.Azure.AzureDefenderForServers               1.0.1.3
Compute.AKS.Windows.Billing              Microsoft.AKS                                         1.0.0
MDE.Windows                              Microsoft.Azure.AzureDefenderForServers               1.0.2.2
MDE.Windows                              Microsoft.Azure.AzureDefenderForServers               1.0.3.1
MDE.Windows                              Microsoft.Azure.AzureDefenderForServers               1.0.4.2
MDE.Windows                              Microsoft.Azure.AzureDefenderForServers               1.0.5.1
MDE.Windows                              Microsoft.Azure.AzureDefenderForServers               1.0.5.2
MDE.Windows                              Microsoft.Azure.AzureDefenderForServers               1.0.6.0
MDE.Windows                              Microsoft.Azure.AzureDefenderForServers               1.0.7.0
VulnerabilityAssessment.Windows          Microsoft.Azure.AzureDefenderForSQL                   1.0.1639.91
VulnerabilityAssessment.Windows          Microsoft.Azure.AzureDefenderForSQL                   1.1.1739.127
VulnerabilityAssessment.Windows          Microsoft.Azure.AzureDefenderForSQL                   1.1.1748.129
VulnerabilityAssessment.Windows          Microsoft.Azure.AzureDefenderForSQL                   1.3.1802.146
VulnerabilityAssessment.Windows          Microsoft.Azure.AzureDefenderForSQL                   1.6.2046.37
VulnerabilityAssessment.Windows          Microsoft.Azure.AzureDefenderForSQL                   1.6.2049.40
AHBForRHEL                               Microsoft.Azure.AzureHybridBenefit                    1.0.2
AHBForRHEL                               Microsoft.Azure.AzureHybridBenefit                    1.0.3
AHBForRHEL                               Microsoft.Azure.AzureHybridBenefit                    1.0.4
MyBackupTest                             Microsoft.Azure.Backup.Test                           1.0.134.0
MyBackupTest                             Microsoft.Azure.Backup.Test                           1.0.135.0
MyBackupTest                             Microsoft.Azure.Backup.Test                           1.0.136.0
MyBackupTest                             Microsoft.Azure.Backup.Test                           1.0.137.0
MyBackupTest                             Microsoft.Azure.Backup.Test                           1.0.138.0
MyBackupTest                             Microsoft.Azure.Backup.Test                           1.0.139.0
MyBackupTestLinuxInt                     Microsoft.Azure.Backup.Test                           1.0.9167.0
MyBackupTestLinuxInt                     Microsoft.Azure.Backup.Test                           1.0.9168.0
MyBackupTestLinuxInt                     Microsoft.Azure.Backup.Test                           1.0.9170.0
MyBackupTestLinuxInt                     Microsoft.Azure.Backup.Test                           1.0.9172.0
MyBackupTestLinuxInt                     Microsoft.Azure.Backup.Test                           1.0.9173.0
MyBackupTestLinuxInt                     Microsoft.Azure.Backup.Test                           1.0.9174.0
MyBackupTestLinuxInt                     Microsoft.Azure.Backup.Test                           1.0.9175.0
BatchLinux                               Microsoft.Azure.Batch                                 1.0.195730
BatchLinux                               Microsoft.Azure.Batch                                 1.0.196031
BatchLinux                               Microsoft.Azure.Batch                                 1.0.197133
BatchLinux                               Microsoft.Azure.Batch                                 1.0.197535
BatchLinux                               Microsoft.Azure.Batch                                 1.0.197636
BatchLinux                               Microsoft.Azure.Batch                                 1.0.197637
BatchLinux                               Microsoft.Azure.Batch                                 1.0.198338
BatchLinux                               Microsoft.Azure.Batch                                 1.0.201239
ChangeTracking                           Microsoft.Azure.ChangeTracking.Test                   1.0.0.5
ChangeTracking-Linux                     Microsoft.Azure.ChangeTrackingAndInventory            1.0.0.0
ChangeTracking-Linux                     Microsoft.Azure.ChangeTrackingAndInventory            1.0.0.1
ChangeTracking-Linux                     Microsoft.Azure.ChangeTrackingAndInventory            1.0.0.2
ChangeTracking-Linux                     Microsoft.Azure.ChangeTrackingAndInventory            1.1.0.0
ChangeTracking-Linux                     Microsoft.Azure.ChangeTrackingAndInventory            1.11.0.0
ChangeTracking-Linux                     Microsoft.Azure.ChangeTrackingAndInventory            1.12.0.0
ChangeTracking-Linux                     Microsoft.Azure.ChangeTrackingAndInventory            1.2.0.0
